creditoHistorial.pago,Stojol
creditoHistorial.pago_interes_ord,Stojel jxuhtuc' sjol taqu'in ta sc'ahc'alel
creditoHistorial.pago_interes_mor,Stojel jxuhtuc' sjol taqu'in te c'axemix ta sc'ahc'alel
creditoHistorial.abono_capital,Stojel jxuhtuc' taqu'in
creditoHistorial.saldoInsoluto,Ta spisil te quechelto ay betil
creditoHistorial.pendienteIntOrd,Quechelto ay ta tojel sjol taqu'in ta sc'ahc'alel
creditoHistorial.pendienteIntMor,Quechelto ay ta tojel sjol taqu'in te c'axemix ta sc'ahc'alel
creditoHistorial.pendienteCapital,Quechelto ay ta tojel taqu'in
pagosXLSX,Scohtesel stojel
confirmacionInfo,Ac'a ta na'el te me lec te junetic
enviar,Sticunel
formatos.title,Shunal
formatos.comprobantePago,Shunal stojel betil
formatos.formActReg,Shunal chapbil c'op ta jsehp squ'inalel
formatos.formActReg1,Shunal chapbil c'op ta jsehp squ'inalel 2
formatos.formSol,Shunal sc'anel smajanel taqu'in
actualizarDatos,Yach'ubtesel bintic ay yu'un
evalSocio.title,Yocliyel
evalSocio.Datos,Bintic ay yu'un
evalSocio.Acopios,Stsobel a'telil
creditos.fecha_banco,Sc'ahc'alel sjunal sloqu'el taqu'in/sc'asesel taqu'in
creditos.referencia_banco,Schicnaji'bal yahtalul ta snahul taqu'in
inicio.title,Bin xchih
inicio.calendario,Yilojibal c'ahc'al
inicio.pronostico,Yilojibal qu'inal ta jujun c'ahc'al
inicio.mapa,Sloc'ombah jpahm qu'inal
inicio.saldos,Jaye'b xan hay cu'un ta spisil
inicio.numeros,Tseltal ahtaletic
inicio.numero,Ahtal
inicio.numeroTradcurir,Sc'asesel ahtal ta yan c'op 
bancos.title,Spajaltayel taqu'in soc ta snahul squ'ejojbil
bancos.fecha,Sc'ahc'alel
bancos.subcuenta,Stsahlal yahtalul ca'teltic
bancos.subcuenta_nombre,Xchicnajtesel sc'oblalul
bancos.referencia,Yich'abul banti ya xchicnah
bancos.ingreso,Och talel 
bancos.egreso,Loc' bahel
bancos.saldo_bancos,Jaye'b xan ay cu'un
bancos.newMovimiento,Yach'il syuhqu'el a'tel ta snahul squ'ejojbil taqu'in
bancoForm.referencia_alf,Yich'abul yahtalul banti ya xchicnah
bancoForm.ingreso,Och talel 
bancoForm.egreso,Loc' bahel
bancoForm.seleccionados,ho'eb tsahbil tojbil
bancoForm.seleccionadosOPC,Jun tsahbil stojel
bancoForm.respuesta,La jyich pasel ho'eb snahcanel ta hun yu'un yich'elbahel ta ahtayel 
bancoForm.respuestaOPC,La jyich nahcanel  jp'ij ta hun yu'un yich'elbahel ta ahtayel 
bancoForm.terminar,Slajinel ta stsihbayel ochel
bancoForm.nuevo,Yan snahcanel ta hun   
movimientosForm.ordinario,Yaqu'el yan tso'bil taqu'in
movimientosForm.extraordinario,Yaqu'el tso'bil shilemal taqu'in
banco.totales,Jaye'b ay cu'un spisil c'alal ta slaji'bal
banco.total_periodo,Jayeb ay cu'un spsil ta sc'ahc'alel ini
banco.cuenta,Yahtalul xchapojibal ca'teltic
banco.tot_ingresos,Och talel 
banco.tot_egresos,Loc' bahel
